symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VOO,2011-03-30,60.7,60.87,60.564,60.62,211038,101.5609336249,101.8453711656,101.3333835924,101.4270806646,105519,0.0,1.0
VOO,2011-03-31,60.62,60.78,60.55,60.65,254995,101.4270806646,101.6947865852,101.3099593244,101.4772755247,127497,0.0,1.0
VOO,2011-04-01,60.9,61.17,60.75,61.06,141317,101.8955660257,102.3473197667,101.6445917251,102.1632719463,70658,0.0,1.0
VOO,2011-04-04,60.93,61.13,60.76,61.05,157533,101.9457608858,102.2803932865,101.6613233452,102.1465403262,78766,0.0,1.0
VOO,2011-04-05,60.93,61.16,60.78,60.78,410464,101.9457608858,102.3305881466,101.6947865852,101.6947865852,205232,0.0,1.0
VOO,2011-04-06,61.11,61.25,60.89,61.24,285719,102.2469300465,102.481172727,101.8788344056,102.4644411069,142859,0.0,1.0
VOO,2011-04-07,61.0,61.25,60.68,61.03,214644,102.062882226,102.481172727,101.5274703849,102.1130770862,107322,0.0,1.0
VOO,2011-04-08,60.77,61.26,60.51,61.25,173710,101.6780549652,102.497904347,101.2430328442,102.481172727,86855,0.0,1.0
VOO,2011-04-11,60.564,61.01,60.46,60.84,279238,101.3333835924,102.0796138461,101.159374744,101.7951763055,139619,0.0,1.0
VOO,2011-04-12,60.12,60.3,59.9,60.25,209504,100.5904996628,100.8916688235,100.222404022,100.8080107233,104752,0.0,1.0
VOO,2011-04-13,60.14,60.45,59.9,60.42,370160,100.6239629029,101.142643124,100.222404022,101.0924482639,185080,0.0,1.0
VOO,2011-04-14,60.15,60.248,59.58,59.79,156834,100.6406945229,100.8046643993,99.6869921808,100.0383562016,78417,0.0,1.0
VOO,2011-04-15,60.36,60.52,60.11,60.25,159506,100.9920585437,101.2597644643,100.5737680427,100.8080107233,79753,0.0,1.0
VOO,2011-04-18,59.7,59.8,59.2201,59.65,303883,99.8877716212,100.0550878216,99.0848211756,99.804113521,151941,0.0,1.0
VOO,2011-04-19,60.07,60.07,59.6599,59.81,157737,100.5068415626,100.5068415626,99.8206778249,100.0718194416,78868,0.0,1.0
VOO,2011-04-20,60.88,60.99,60.74,60.79,346438,101.8621027856,102.046150606,101.6278601051,101.7115182053,173219,0.0,1.0
VOO,2011-04-21,61.1492,61.19,60.97,61.19,400521,102.312517997,102.3807830067,102.0126873659,102.3807830067,200260,0.0,1.0
VOO,2011-04-25,61.09,61.2,60.9131,61.16,197929,102.2134668064,102.3975146268,101.9174844479,102.3305881466,98964,0.0,1.0
VOO,2011-04-26,61.6235,61.75,61.2632,61.31,170070,103.1060987354,103.3177537288,102.5032584654,102.5815624472,85035,0.0,1.0
VOO,2011-04-27,62.02,62.1199,61.5,61.78,145613,103.7695074698,103.936656354,102.8994632279,103.3679485889,72806,0.0,1.0
VOO,2011-04-28,62.22,62.3,61.93,61.95,132401,104.1041398706,104.2379928309,103.6189228895,103.6523861296,66200,0.0,1.0
VOO,2011-04-29,62.4,62.44,62.209,62.25,198286,104.4053090312,104.4722355114,104.0857350885,104.1543347307,99143,0.0,1.0
VOO,2011-05-02,62.26,62.72,62.161,62.72,261587,104.1710663507,104.9407208724,104.0054233123,104.9407208724,130793,0.0,1.0
VOO,2011-05-03,62.06,62.26,61.75,62.18,133401,103.83643395,104.1710663507,103.3177537288,104.0372133904,66700,0.0,1.0
VOO,2011-05-04,61.639,62.05,61.39,62.05,214444,103.1320327464,103.8197023299,102.7154154075,103.8197023299,107222,0.0,1.0
VOO,2011-05-05,61.102,61.676,60.82,61.31,197859,102.2335447504,103.1939397406,101.7617130654,102.5815624472,98929,0.0,1.0
VOO,2011-05-06,61.39,62.0,61.14,61.74,277292,102.7154154075,103.7360442298,102.2971249066,103.3010221088,138646,0.0,1.0
VOO,2011-05-09,61.6399,61.79,61.29,61.4,132198,103.1335385922,103.384680209,102.5480992071,102.7321470275,66099,0.0,1.0
VOO,2011-05-10,62.145,62.24,61.76,61.83,351072,103.9786527203,104.1376031106,103.3344853489,103.4516066891,175536,0.0,1.0
VOO,2011-05-11,61.49,62.06,61.209,62.06,348775,102.8827316079,103.83643395,102.4125730848,103.83643395,174387,0.0,1.0
